32
0	1041	1076	1624	1836	1146	1569	1181	2044	1996	1151	1945	1499	1218	1276	1116	1800	1480	1549	1332	1960	1913	1296	1902	1285	1673	1442	1763	1419	2006	1312	1444	
1041	0	1657	1919	1029	1455	1548	1731	2012	1580	1131	2003	1900	1515	1856	1693	1206	1554	1249	1616	1885	1721	1165	1966	1220	1962	1646	1927	1589	1869	1336	1454	
1076	1657	0	1987	1915	1304	1686	1943	1755	1042	1613	1398	1725	1570	1346	1606	2000	1204	1735	2032	1479	1190	1364	1109	1638	1865	1563	1083	1688	1666	1588	1512	
1624	1919	1987	0	1977	1647	1308	1149	1597	2036	1887	1751	1807	1090	1382	1429	1672	1125	1213	1172	1808	1676	1796	1999	1842	1827	1303	1894	1770	1491	1696	1167	
1836	1029	1915	1977	0	1872	1421	1065	1815	1189	1816	1036	1369	1033	1934	1489	1860	1732	1995	1315	1680	1523	1595	1593	1108	1400	1259	1715	1363	1614	1661	1833	
1146	1455	1304	1647	1872	0	1618	1496	2048	1482	1891	1488	1251	1233	1126	1263	1682	1368	1774	1663	1876	1711	1356	1412	1120	1380	1273	1991	1367	1358	1501	2018	
1569	1548	1686	1308	1421	1618	0	1942	1470	1695	1277	1981	1972	1598	1402	1576	1924	1746	1794	1460	1851	1047	1516	1592	1989	1352	1232	1904	1574	1290	1587	1804	
1181	1731	1943	1149	1065	1496	1942	0	1187	1214	1155	1353	1040	1627	1053	1758	1840	1306	1629	1179	1031	1678	2027	1610	1157	1043	1396	1575	1409	1122	1503	1805	
2044	2012	1755	1597	1815	2048	1470	1187	0	1148	1947	1764	1780	1173	1377	1216	1287	1897	1073	1559	1119	1314	1395	1391	1699	1307	1729	1868	1813	1115	1786	1898	
1996	1580	1042	2036	1189	1482	1695	1214	1148	0	1753	1558	1944	1100	1024	1824	1383	1522	1227	1215	2043	1791	1726	1730	1197	1129	1166	1916	1098	1360	1427	1133	
1151	1131	1613	1887	1816	1891	1277	1155	1947	1753	0	1228	1654	1757	1118	1650	1465	1440	1874	1698	2002	1709	1702	2015	1572	1087	1272	1424	1392	1425	1507	1681	
1945	2003	1398	1751	1036	1488	1981	1353	1764	1558	1228	0	1932	1602	1783	1074	1542	2035	1600	1310	1626	1677	1762	1038	1441	2039	1941	1801	1286	1431	1873	1907	
1499	1900	1725	1807	1369	1251	1972	1040	1780	1944	1654	1932	0	1911	1639	1420	1724	1640	1150	1171	1449	1734	1862	1852	1194	1229	1562	1174	1217	1266	1810	1582	
